"blade_length","blade_steel","handle_length","name","overall_length","price","weigh","katana"
30,1,11.25,"GOLD LION KATANA",41.25,999.99,1.79,"1"
22,2,9.5,"DRAGON FLY WAKIZASHI",31.5,649.99,1.89,"1"
29.25,2,11.5,"DRAGONFLY KATANA",40.75,799.99,2.46,"1"
23.25,2,14.5,"CHINESE WAR SWORD",37.75,559.99,3.69,"2"
28.75,2,11.25,"EMPEROR DOUBLE EDGE KATANA",40.75,824.99,2.33,"1"
21,2,6,"WWII MEMORIAL FILIPINO BOLO",27,299.99,1.74,"2"
25,2,5.375,"IMPROVED 1917 CUTLASS",30.375,299.99,2.07,"2"
12.25,2,5.375,"1917 FRONTIER BOWIE",17.625,199.99,1.49,"2"
30,2,8.25,"CHINESE SWORD BREAKER",38.25,564.99,3.21,"2"
25,2,4.625,"1917 CUTLASS",29.625,289.99,2.11,"2"
12,2,4.375,"FACON",16.375,174.99,1.21,"2"
24,2,5.25,"HUNTING SWORD",29.25,339.99,2.18,"2"
32.375,2,7.625,"COLICHEMARDE SWORD",40,499.99,1.65,"2"
11.75,2,6,"COLICHEMARDE DAGGER",17.75,279.99,0.88,"2"
21,2,6.5,"MIZUTORI (CRANE) WAKIZASHI",27.5,699.99,1.76,"1"
29.75,2,11.5,"MIZUTORI (CRANE) KATANA",41.25,824.99,2.7,"1"
37.5,2,14.5,"MAA LAFONTAINE SWORD OF WAR",52,549.99,4.91,"2"
39.875,2,15.375,"TWO HANDED GREAT SWORD",55.25,649.99,6.84,"2"
30.25,2,6.625,"VIKING SWORD",36.825,489.99,2.32,"2"
35,2,13.375,"TWO HANDED GIM 2020",48.375,659.99,3.01,"2"
13.25,2,6.125,"O TANTO (EMPEROR SERIES)",19.375,599.99,1.25,"1"
32,2,6.5,"SCIMITAR",37.5,399.99,2.73,"2"
30.5,2,5.75,"SHAMSHIR",36.25,349.99,1.77,"2"
33,2,4.75,"1796 LIGHT CAVALRY SABER (STEEL SCABBARD)",37.75,369.99,2.14,"2"
