blade_length,blade_steel,handle_length,name,overall_length,price,weigh,katana
Sword Blade Length: 35 inches,6150,Sword Handle Length: 7 1/4 inches,VA-132-Craftsman Series - The Crecy Medieval Long Sword,This Sword has an Overall Length: 44 1/2 inches,"$1,295.00 ",Sword Weight 2 lb. 10oz.,0
Sword Blade Length: 35 7/8 inches,6150,Sword Handle Length: 7 1/2 inches,VA-148-Craftsman Series - The Regal Medieval Long Sword,This Sword has an Overall Length: 46 1/2 inches,"$1,295.00 ",Sword Weight 2 lb. 11 oz.,0
Sword Blade Length: 35 inch,6150,Sword Handle Length: 7 1/4 inch,VA-122-Craftsman Series - The Prescot Medieval Sword,This Sword has an Overall Length: 44 1/2 inches,"$1,295.00 ",Sword Weight 3 lb. 2 oz.,0
Sword Blade Length: 30 1/2 inches,6150,Sword Handle Length: 6 inches,VA-358-Craftsman Series - The Lambrecht Medieval Sword,This Sword has an Overall Length: 39 3/8 inches,"$1,245.00 ",Sword Weight 2 lb. 8 oz.,0
Sword Blade Length: 35 inches,6150,Sword Handle Length: 7 1/4 inches,VA-154-Craftsman Series - The Marseille Medieval Long Sword,This Sword has an Overall Length: 45 1/2 inches,"$1,295.00 ",Sword Weight 2 lb. 15 oz.,0
Sword Blade Length: 34 inches,6150,Sword Handle Length: 8 1/4 inches,VA-177-Craftsman Series - The Irish Ring Medieval War Sword,This Sword has an Overall Length: 45.5 inches,"$1,345.00 ",Sword Weight 2 lb. 15 oz.,0
Sword Blade Length: 31 1/2 inches,6150,Sword Handle Length: 3 3/4 inches,VA-405-Craftsman Series - The Hedemark Viking Sword,This Sword has an Overall Length: 38 1/2 inches,"$1,245.00 ",Sword Weight 2 lb. 12 oz.,0
Sword Blade Length: 27 inch,6150,Sword Handle Length: 4 1/2 inch,VA-101-Craftsman Series - The Noble Medieval Sword - Sword Only,This Sword has an Overall Length: 33 1/2 inches,$895.00 ,Sword Weight 2 lb. 4 oz.,0
Sword Blade Length: 33 inch,6150,Sword Handle Length: 7 1/4 inch,VA-134-Craftsman Series - The English Knightly Sword,This Sword has an Overall Length: 42 1/2 inches,"$1,295.00 ",Sword Weight 2 lb. 12oz.,0
Sword Blade Length: 27 3/4 inches,6150,Sword Handle Length: 4 inches,VA-141-Craftsman Series - The Brighton Medieval Arming Sword,This Sword has an Overall Length: 35  inches,"$1,295.00 ",Sword Weight 2 lb. 1 oz.,0
Sword Blade Length: 35 inches,6150,Sword Handle Length: 7 inches,VA-409-Craftsman Series - The Knights Templar Medieval Long Sword,This Sword has an Overall Length: 44 1/2 inches,"$1,295.00 ",Sword Weight 2 lb. 14 oz.,0
Sword Blade Length: 26 inches,6150,Sword Handle Length: 4 1/4 inches,VA-403-Craftsman Series - The Bristol Medieval Arming Sword,This Sword has an Overall Length: 34 inches,"$1,245.00 ",Sword Weight 2 lb. 8 oz.,0
Sword Blade Length: 27 7/8th inches,6150,Sword Handle Length: 4 1/8 inches,VA-110-Craftsman Series - The Monarch Medieval Arming Sword,This Sword has an Overall Length: 33 3/4 inches,"$1,245.00 ",Sword Weight 2 lb. 2 oz.,0
